#threads N est_pi error time
10 10 0.00000000000000000000 3.14159265358979311600 0.000587
20 10 0.00000000000000000000 3.14159265358979311600 0.000945
30 10 0.00000000000000000000 3.14159265358979311600 0.033370
40 10 0.00000000000000000000 3.14159265358979311600 0.000785
50 10 0.00000000000000000000 3.14159265358979311600 0.000869
60 10 0.00000000000000000000 3.14159265358979311600 0.001725
70 10 0.00000000000000000000 3.14159265358979311600 0.002910
80 10 0.00000000000000000000 3.14159265358979311600 0.003172
90 10 0.00000000000000000000 3.14159265358979311600 0.004010
100 10 0.00000000000000000000 3.14159265358979311600 0.004458
10 100 2.39999999999999991118 0.74159265358979320482 0.000388
20 100 1.60000000000000008882 1.54159265358979302718 0.000774
30 100 1.19999999999999995559 1.94159265358979316041 0.029247
40 100 0.80000000000000004441 2.34159265358979329363 0.001018
50 100 0.00000000000000000000 3.14159265358979311600 0.002054
60 100 0.00000000000000000000 3.14159265358979311600 0.001696
70 100 0.00000000000000000000 3.14159265358979311600 0.002689
80 100 0.00000000000000000000 3.14159265358979311600 0.002954
90 100 0.00000000000000000000 3.14159265358979311600 0.002880
100 100 0.00000000000000000000 3.14159265358979311600 0.002936
10 1000 3.00000000000000000000 0.14159265358979311600 0.000258
20 1000 3.04000000000000003553 0.10159265358979308047 0.029138
30 1000 2.68000000000000015987 0.46159265358979295613 0.019620
40 1000 2.39999999999999991118 0.74159265358979320482 0.000944
50 1000 2.20000000000000017764 0.94159265358979293836 0.002072
60 1000 2.08000000000000007105 1.06159265358979304494 0.002575
70 1000 2.24000000000000021316 0.90159265358979290284 0.001620
80 1000 2.24000000000000021316 0.90159265358979290284 0.001729
90 1000 2.20000000000000017764 0.94159265358979293836 0.002241
100 1000 2.39999999999999991118 0.74159265358979320482 0.004149
10 10000 3.10000000000000008882 0.04159265358979302718 0.000382
20 10000 3.05600000000000004974 0.08559265358979306626 0.026122
30 10000 3.08400000000000007461 0.05759265358979304139 0.019876
40 10000 3.08800000000000007816 0.05359265358979303784 0.001140
50 10000 3.18000000000000015987 0.03840734641020704387 0.002034
60 10000 3.13600000000000012079 0.00559265358979299521 0.002425
70 10000 3.16400000000000014566 0.02240734641020702966 0.001510
80 10000 3.07200000000000006395 0.06959265358979305205 0.003536
90 10000 3.02800000000000002487 0.11359265358979309113 0.003801
100 10000 3.00000000000000000000 0.14159265358979311600 0.004432
10 100000 3.12519999999999997797 0.01639265358979313802 0.001089
20 100000 3.11200000000000009948 0.02959265358979301652 0.001590
30 100000 3.13120000000000020535 0.01039265358979291065 0.026898
40 100000 3.12480000000000002203 0.01679265358979309397 0.001884
50 100000 3.10000000000000008882 0.04159265358979302718 0.001789
60 100000 3.08320000000000016271 0.05839265358979295328 0.002903
70 100000 3.08720000000000016627 0.05439265358979294973 0.003131
80 100000 3.10400000000000009237 0.03759265358979302363 0.003942
90 100000 3.10000000000000008882 0.04159265358979302718 0.004188
100 100000 3.10000000000000008882 0.04159265358979302718 0.004615
10 1000000 3.13432000000000021700 0.00727265358979289900 0.007340
20 1000000 3.13296000000000018915 0.00863265358979292685 0.030547
30 1000000 3.13492000000000015092 0.00667265358979296508 0.019488
40 1000000 3.14015999999999984027 0.00143265358979327573 0.003109
50 1000000 3.14579999999999992966 0.00420734641020681366 0.003725
60 1000000 3.14008000000000020435 0.00151265358979291165 0.003672
70 1000000 3.13115999999999994330 0.01043265358979317270 0.005823
80 1000000 3.12863999999999986557 0.01295265358979325043 0.005557
90 1000000 3.13240000000000007319 0.00919265358979304281 0.007602
100 1000000 3.12519999999999997797 0.01639265358979313802 0.007413
10 10000000 3.14355999999999990990 0.00196734641020679391 0.042264
20 10000000 3.14454399999999978377 0.00295134641020666777 0.027550
30 10000000 3.14199999999999990408 0.00040734641020678808 0.032215
40 10000000 3.14241599999999987602 0.00082334641020676003 0.011345
50 10000000 3.14173999999999997712 0.00014734641020686112 0.014883
60 10000000 3.14204799999999995208 0.00045534641020683608 0.015882
70 10000000 3.13802000000000003155 0.00357265358979308445 0.016044
80 10000000 3.13766400000000000858 0.00392865358979310741 0.019884
90 10000000 3.13563599999999986778 0.00595665358979324822 0.021068
100 10000000 3.13432000000000021700 0.00727265358979289900 0.025506
10 100000000 3.14161039999999980310 0.00001774641020668710 0.216840
20 100000000 3.14137520000000014520 0.00021745358979297080 0.121889
30 100000000 3.14176359999999998962 0.00017094641020687362 0.108873
40 100000000 3.14231520000000008608 0.00072254641020697008 0.098503
50 100000000 3.14199800000000006861 0.00040534641020695261 0.098883
60 100000000 3.14275839999999995200 0.00116574641020683600 0.104132
70 100000000 3.14346039999999993242 0.00186774641020681642 0.099309
80 100000000 3.14423040000000009186 0.00263774641020697587 0.093647
90 100000000 3.14408559999999992485 0.00249294641020680885 0.088526
100 100000000 3.14355999999999990990 0.00196734641020679391 0.093641
10 1000000000 3.14167819999999986535 0.00008554641020674936 1.972470
20 1000000000 3.14158888000000002805 0.00000377358979308795 1.032937
30 1000000000 3.14185936000000021195 0.00026670641020709596 0.764129
40 1000000000 3.14206544000000009831 0.00047278641020698231 0.879214
50 1000000000 3.14207379999999991682 0.00048114641020680082 0.709202
60 1000000000 3.14210320000000020713 0.00051054641020709113 0.788453
70 1000000000 3.14201700000000005986 0.00042434641020694386 0.754833
80 1000000000 3.14190592000000012973 0.00031326641020701373 0.764807
90 1000000000 3.14200800000000013412 0.00041534641020701812 0.738848
100 1000000000 3.14161039999999980310 0.00001774641020668710 0.723021
10 10000000000 3.14159227599999990588 0.00000037758979321012 19.625725
20 10000000000 3.14161882400000003202 0.00002617041020691602 10.076615
30 10000000000 3.14159148400000010071 0.00000116958979301529 7.059014
40 10000000000 3.14160059200000008062 0.00000793841020696462 7.574499
50 10000000000 3.14160684000000012261 0.00001418641020700662 11.821358
60 10000000000 3.14164707999999981425 0.00005442641020669825 8.936806
70 10000000000 3.14159784000000019688 0.00000518641020708088 7.376230
80 10000000000 3.14156185600000004143 0.00003079758979307456 6.961514
90 10000000000 3.14161956399999997558 0.00002691041020685958 6.761308
100 10000000000 3.14167819999999986535 0.00008554641020674936 7.411359
10 100000000000 3.14159204360000021694 0.00000060998979289906 196.153261
20 100000000000 3.14159325839999992169 0.00000060481020680569 98.216598
30 100000000000 3.14159216799999985170 0.00000048558979326430 71.402689
40 100000000000 3.14159547359999979932 0.00000282001020668332 78.438837
50 100000000000 3.14159016800000001624 0.00000248558979309976 79.738783
60 100000000000 3.14158870719999994137 0.00000394638979317463 78.185918
70 100000000000 3.14159644960000017377 0.00000379601020705778 77.536009
80 100000000000 3.14159646719999985365 0.00000381361020673765 75.040185
90 100000000000 3.14159696679999989044 0.00000431321020677444 71.773153
100 100000000000 3.14159227599999990588 0.00000037758979321012 70.617291
10 1000000000000 3.14159186787999988866 0.00000078570979322734 1962.254950
20 1000000000000 3.14159184543999980832 0.00000080814979330768 1014.969380
30 1000000000000 3.14159193960000004964 0.00000071398979306636 713.647598
40 1000000000000 3.14159201215999983603 0.00000064142979327997 814.473937
50 1000000000000 3.14159196039999999428 0.00000069318979312172 853.544428
60 1000000000000 3.14159268160000015868 0.00000002801020704268 754.707311
70 1000000000000 3.14159164891999997948 0.00000100466979313651 780.786154
80 1000000000000 3.14159237663999979517 0.00000027694979332082 809.045407
90 1000000000000 3.14159227527999984630 0.00000037830979326969 809.106361
100 1000000000000 3.14159204360000021694 0.00000060998979289906 783.947950
